Nx=128, Ny=64, Nz=1
dx=2.449490, dy=0.204124, dz=0.204124
1.000000 0.966166 23.372490 -20.557445
0.056724 0.943276 22.901482 -19.655098
0.126441 0.873557 19.123114 -19.250410
0.317759 0.682237 7.420808 -19.473668
0.640641 0.359361 -3.633088 -11.154842
0.859817 0.140186 -4.354516 1.274335
0.943641 0.056360 -3.786152 6.872248
0.972504 0.027496 -3.859839 8.530407
0.982226 0.017774 -4.028846 8.944706
0.983804 0.016196 -4.062821 9.005442
0.978913 0.021087 -3.957400 8.817391
0.962215 0.037785 -3.786571 7.986344
0.913920 0.086078 -3.939837 4.935473
0.775462 0.224534 -4.700973 -4.133036
0.480589 0.519412 0.371985 -16.752520
0.203778 0.796226 14.082663 -19.650704
0.083227 0.916774 21.706537 -19.259834
0.042245 0.957754 23.312743 -20.112521
0.030496 0.969504 23.378397 -20.751823
0.034947 0.965053 23.392768 -20.470427
0.060322 0.939678 22.773975 -19.566710
0.137366 0.862632 18.399754 -19.318284
0.344622 0.655374 6.014826 -19.267871
0.669281 0.330722 -4.078551 -9.881936
0.872686 0.127317 -4.281938 2.119081
0.948287 0.051714 -3.780103 7.157081
0.974197 0.025804 -3.867309 8.624477
0.982580 0.017420 -4.005641 8.989175
0.982907 0.017093 -4.009709 9.004692
0.975527 0.024473 -3.876892 8.694725
0.952117 0.047882 -3.767489 7.399581
0.883786 0.116211 -4.189803 2.877500
0.695723 0.304274 -4.380667 -8.597091
0.372414 0.627589 4.654878 -18.960213
0.149093 0.850909 17.604392 -19.410025
0.064083 0.935917 22.621996 -19.492990
0.036103 0.963897 23.415172 -20.378644
0.030647 0.969353 23.417045 -20.704120
0.041813 0.958188 23.334205 -20.117053
0.082295 0.917704 21.713183 -19.309137
0.202892 0.797104 14.015270 -19.771164
0.482047 0.517952 0.163352 -16.873959
0.778518 0.221486 -4.828816 -4.077946
0.916034 0.083967 -3.968245 5.033730
0.962997 0.037003 -3.760965 8.058831
0.977870 0.022130 -3.853460 8.858751
0.978876 0.021123 -3.890748 8.881844
0.967261 0.032739 -3.830308 8.245343
0.928875 0.071124 -3.970675 5.801899
0.814662 0.185335 -4.840993 -1.921098
0.543677 0.456323 -1.767939 -15.107182
0.239691 0.760312 11.802598 -19.775935
0.095598 0.904403 21.273663 -18.950465
0.047619 0.952381 23.693206 -19.409644
0.035408 0.964592 23.989708 -19.845788
0.043856 0.956144 23.809641 -19.519000
0.083134 0.916865 22.033012 -18.938941
0.203670 0.796327 14.150817 -19.588959
0.482927 0.517072 0.186358 -16.798150
0.778503 0.221500 -4.847961 -4.097944
0.915651 0.084350 -4.033655 4.945339
0.963097 0.036903 -3.844916 7.980877
0.979402 0.020598 -3.978892 8.825203
0.984099 0.015901 -4.046242 9.039699
0.982301 0.017699 -3.987358 8.990709
0.972029 0.027971 -3.809756 8.551964
0.941411 0.058589 -3.771960 6.752711
0.851687 0.148311 -4.445857 0.695470
0.619817 0.380182 -3.390954 -12.161801
0.296743 0.703260 8.398929 -19.756487
0.116540 0.883462 19.667501 -19.300115
0.052882 0.947118 23.067997 -19.719086
0.033148 0.966852 23.488971 -20.482144
0.033244 0.966756 23.479258 -20.486090
0.053452 0.946548 22.989063 -19.763803
0.119608 0.880390 19.294410 -19.489084
0.308714 0.691283 7.418264 -20.018899
0.639168 0.360834 -4.068395 -11.678501
0.863237 0.136765 -4.560625 1.273480
